name,kills,timeSurvived,rank,name_kor
Zucchini__,2,1461,2,주키니
Zucchini__,0,1278,9,주키니
Zucchini__,0,811,14,주키니
Zucchini__,0,236,29,주키니
Zucchini__,0,542,17,주키니
Zucchini__,5,1454,1,주키니
Zucchini__,0,1104,14,주키니
Zucchini__,2,1537,2,주키니
Zucchini__,0,812,18,주키니
Zucchini__,4,1552,2,주키니
Zucchini__,0,882,21,주키니
Zucchini__,0,1236,5,주키니
Zucchini__,3,1333,9,주키니
Zucchini__,1,1012,26,주키니
Zucchini__,2,1471,4,주키니
Zucchini__,1,1244,13,주키니
Zucchini__,0,141,73,주키니
Zucchini__,2,1479,4,주키니
Zucchini__,0,1555,3,주키니
Zucchini__,2,1325,8,주키니
obbayasalido,10,1638,1,미라클
obbayasalido,4,1719,1,미라클
obbayasalido,5,1652,1,미라클
obbayasalido,1,1009,34,미라클
obbayasalido,6,1612,1,미라클
obbayasalido,0,140,83,미라클
obbayasalido,5,1021,26,미라클
obbayasalido,2,1380,9,미라클
obbayasalido,0,149,88,미라클
obbayasalido,2,897,35,미라클
obbayasalido,2,946,31,미라클
obbayasalido,1,702,43,미라클
obbayasalido,0,103,85,미라클
obbayasalido,4,1249,15,미라클
obbayasalido,4,1324,13,미라클
obbayasalido,7,1572,1,미라클
obbayasalido,1,867,30,미라클
obbayasalido,7,1573,1,미라클
obbayasalido,0,1369,11,미라클
obbayasalido,1,1595,2,미라클
rnsflaqh,1,1086,27,군림보
rnsflaqh,5,1190,13,군림보
rnsflaqh,3,1228,14,군림보
rnsflaqh,10,1344,7,군림보
rnsflaqh,5,1305,11,군림보
rnsflaqh,3,1105,17,군림보
rnsflaqh,1,682,25,군림보
rnsflaqh,0,852,31,군림보
rnsflaqh,2,932,34,군림보
rnsflaqh,3,774,44,군림보
rnsflaqh,2,1172,16,군림보
rnsflaqh,1,1196,14,군림보
rnsflaqh,0,1194,19,군림보
rnsflaqh,1,1221,12,군림보
rnsflaqh,5,1337,9,군림보
rnsflaqh,6,1458,3,군림보
rnsflaqh,9,1265,12,군림보
rnsflaqh,3,735,38,군림보
rnsflaqh,9,1714,1,군림보
rnsflaqh,4,1547,1,군림보
kimblue,9,1484,1,김블루
kimblue,6,694,33,김블루
kimblue,0,85,93,김블루
kimblue,10,1473,1,김블루
kimblue,0,553,48,김블루
kimblue,1,873,36,김블루
kimblue,1,424,58,김블루
kimblue,11,1400,1,김블루
kimblue,1,847,20,김블루
kimblue,3,351,41,김블루
kimblue,9,1351,1,김블루
kimblue,0,105,89,김블루
kimblue,3,201,72,김블루
kimblue,8,1446,4,김블루
kimblue,0,331,26,김블루
kimblue,0,243,28,김블루
kimblue,0,1073,16,김블루
kimblue,0,579,25,김블루
kimblue,6,1548,1,김블루
kimblue,0,165,48,김블루
